Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly) 
 01/12  18:00:00,0.75,6.326970140576644 
 01/12  19:00:00,-1.25,5.855308541969105 
 01/12  20:00:00,-2.625,5.548940124910248 
 01/12  21:00:00,-2.375,5.337056446854819 
 01/12  22:00:00,-2.0,5.207792350989425 
 01/12  23:00:00,-2.0,5.051445122093051 
 01/12  24:00:00,-2.0,4.878543423194788 
 01/13  01:00:00,-0.75,4.7806261437602999 
 01/13  02:00:00,-0.625,4.709374551432216 
 01/13  03:00:00,-1.0,4.493309804119141 
 01/13  04:00:00,-1.625,4.26656411329966 
 01/13  05:00:00,-2.625,4.052867087910439 
 01/13  06:00:00,-1.75,3.8520215952504679 
 01/13  07:00:00,-2.25,3.6201791317907796 
 01/13  08:00:00,-1.75,3.671445367245086 
 01/13  09:00:00,-0.375,4.651561030469265 
 01/13  10:00:00,0.625,4.623334773306561 
 01/13  11:00:00,1.625,4.3247345284046549 
 01/13  12:00:00,3.25,4.798738514307523 
 01/13  13:00:00,3.375,4.96660087092185 
 01/13  14:00:00,1.75,5.3553296783854 
 01/13  15:00:00,1.625,5.865105092016053 
 01/13  16:00:00,2.0,6.205823112728261 
 01/13  17:00:00,1.375,5.866104703990715 
 01/13  18:00:00,-1.5,4.651546939288794 
 01/13  19:00:00,-1.75,4.223401182472814 
 01/13  20:00:00,-2.875,4.154961680055742 
 01/13  21:00:00,-4.0,3.8026500064930128 
 01/13  22:00:00,-4.625,3.573230367373221 
 01/13  23:00:00,-6.25,3.2559226070743829 
 01/13  24:00:00,-6.375,2.870758860323967 
 01/14  01:00:00,-5.375,2.6842614334454417 
 01/14  02:00:00,-4.375,2.6706595096103866 
 01/14  03:00:00,-4.625,2.532527307521968 
 01/14  04:00:00,-5.625,2.2749750040189786 
 01/14  05:00:00,-5.375,2.070233799870123 
 01/14  06:00:00,-5.0,1.9415623696761749 
 01/14  07:00:00,-4.375,1.813418745013941 
 01/14  08:00:00,-2.125,1.9021440743284735 
 01/14  09:00:00,2.125,2.773706796233908 
 01/14  10:00:00,5.875,3.514871187487344 
 01/14  11:00:00,8.25,3.496538984475815 
 01/14  12:00:00,9.625,3.8478858222943508 
 01/14  13:00:00,10.0,3.9954533278452359 
 01/14  14:00:00,10.625,4.524781209782733 
 01/14  15:00:00,12.25,5.329825449861654 
 01/14  16:00:00,12.375,5.7507859206500229 
 01/14  17:00:00,10.125,5.551378709501293 
 01/14  18:00:00,5.875,4.785105815597545 
 01/14  19:00:00,6.5,4.333033149193181 
 01/14  20:00:00,7.375,4.329420293453031 
 01/14  21:00:00,6.375,4.309573588391528 
 01/14  22:00:00,4.125,4.182920350629525 
 01/14  23:00:00,6.75,4.139979468794118 
 01/14  24:00:00,8.25,4.385043482856213 
 01/15  01:00:00,7.3,4.420731503245912 
 01/15  02:00:00,6.375,4.35012844321407 
 01/15  03:00:00,7.25,4.2967861487256429 
 01/15  04:00:00,7.375,4.369472015704468 
 01/15  05:00:00,6.375,4.352851813254552 
 01/15  06:00:00,2.875,4.162299353892276 
 01/15  07:00:00,1.625,3.8270570178950367 
 01/15  08:00:00,1.375,3.874521862620302 
 01/15  09:00:00,4.75,4.819262904303346 
 01/15  10:00:00,8.25,5.967116788923716 
 01/15  11:00:00,11.5,6.247562609250721 
 01/15  12:00:00,14.25,6.477565915672878 
 01/15  13:00:00,13.75,6.6722623986154769 
 01/15  14:00:00,12.375,6.947682217949414 
