Date/Time,PLENUM:Zone Air Temperature [C](TimeStep),SOUTH PERIMETER:Zone Air Temperature [C](TimeStep),EAST PERIMETER:Zone Air Temperature [C](TimeStep),NORTH PERIMETER:Zone Air Temperature [C](TimeStep),WEST PERIMETER:Zone Air Temperature [C](TimeStep),CORE:Zone Air Temperature [C](TimeStep) 
 01/21  15:45:00,9.02645397000116,15.548053755075909,15.399589143673499,15.529358511316982,15.399589143673495,17.369872985071806 
 01/21  16:00:00,9.026453969881568,15.548053755049369,15.399589143646235,15.529358511290298,15.399589143646227,17.369872985044784 
 01/21  16:15:00,9.026453969765777,15.548053755023642,15.399589143619814,15.529358511264452,15.399589143619807,17.369872985018625 
 01/21  16:30:00,9.026453969653666,15.548053754998732,15.399589143594252,15.52935851123942,15.399589143594247,17.3698729849933 
 01/21  16:45:00,9.026453969545115,15.548053754974612,15.399589143569506,15.529358511215177,15.399589143569504,17.369872984968777 
 01/21  17:00:00,9.026453969440017,15.548053754951289,15.399589143545532,15.529358511191728,15.399589143545528,17.369872984945038 
 01/21  17:15:00,9.02645396933826,15.54805375492868,15.399589143522319,15.529358511169024,15.399589143522317,17.369872984922048 
 01/21  17:30:00,9.026453969239738,15.548053754906795,15.399589143499878,15.529358511147042,15.399589143499874,17.36987298489979 
 01/21  17:45:00,9.026453969144344,15.54805375488559,15.399589143478125,15.529358511125727,15.399589143478123,17.369872984878247 
 01/21  18:00:00,9.026453969051984,15.548053754865068,15.399589143457037,15.529358511105098,15.399589143457034,17.36987298485738 
 01/21  18:15:00,9.02645396896256,15.548053754845214,15.399589143436648,15.529358511085139,15.399589143436641,17.369872984837178 
 01/21  18:30:00,9.026453968875974,15.548053754825995,15.399589143416883,15.529358511065832,15.399589143416878,17.36987298481762 
 01/21  18:45:00,9.026453968792146,15.54805375480738,15.399589143397773,15.529358511047125,15.399589143397769,17.36987298479868 
 01/21  19:00:00,9.02645396871098,15.548053754789349,15.399589143379277,15.529358511028976,15.399589143379274,17.369872984780345 
 01/21  19:15:00,9.026453968632393,15.548053754771886,15.399589143361349,15.52935851101142,15.399589143361342,17.36987298476259 
 01/21  19:30:00,9.026453968556304,15.548053754754966,15.399589143343992,15.529358510994463,15.399589143343987,17.3698729847454 
 01/21  19:45:00,9.02645396848263,15.5480537547386,15.399589143327196,15.529358510978044,15.399589143327193,17.369872984728756 
 01/21  20:00:00,9.0264539684113,15.548053754722775,15.399589143310959,15.529358510962139,15.399589143310953,17.369872984712637 
 01/21  20:15:00,9.026453968342237,15.54805375470743,15.399589143295243,15.529358510946715,15.399589143295238,17.369872984697034 
 01/21  20:30:00,9.026453968275371,15.548053754692564,15.399589143279986,15.529358510931793,15.399589143279979,17.36987298468193 
 01/21  20:45:00,9.02645396821063,15.5480537546782,15.399589143265203,15.529358510917325,15.399589143265195,17.369872984667305 
 01/21  21:00:00,9.026453968147944,15.548053754664299,15.3995891432509,15.529358510903349,15.399589143250897,17.369872984653143 
 01/21  21:15:00,9.026453968087248,15.548053754650784,15.399589143237046,15.529358510889808,15.399589143237046,17.369872984639433 
 01/21  21:30:00,9.026453968028486,15.548053754637737,15.399589143223653,15.529358510876678,15.39958914322365,17.369872984626157 
 01/21  21:45:00,9.026453967971588,15.548053754625082,15.399589143210667,15.529358510863976,15.399589143210666,17.3698729846133 
 01/21  22:00:00,9.026453967916505,15.548053754612852,15.39958914319811,15.529358510851683,15.399589143198114,17.369872984600855 
 01/21  22:15:00,9.026453967863168,15.548053754601032,15.399589143185965,15.52935851083976,15.39958914318597,17.369872984588804 
 01/21  22:30:00,9.026453967811522,15.548053754589578,15.399589143174192,15.529358510828237,15.399589143174194,17.369872984577137 
 01/21  22:45:00,9.026453967761519,15.548053754578472,15.399589143162782,15.529358510817078,15.399589143162782,17.36987298456584 
 01/21  23:00:00,9.026453967713107,15.54805375456773,15.399589143151726,15.529358510806273,15.399589143151726,17.369872984554907 
 01/21  23:15:00,9.026453967666237,15.54805375455732,15.39958914314103,15.529358510795847,15.39958914314103,17.36987298454432 
 01/21  23:30:00,9.026453967620853,15.548053754547219,15.399589143130669,15.529358510785734,15.399589143130667,17.36987298453407 
